option,tt,tb,TBase,Base,toe,heel,DB,spacing,stem_height,d,Mstem,Mtoe,Mheel,FSot,FSsl,FSbc,known_checks_only,complete_WSD
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,25,0.2500000000,4.6500000000,0.2625000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,28,0.1000000000,4.6500000000,0.2610000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,True,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,28,0.1500000000,4.6500000000,0.2610000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,True,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,28,0.2000000000,4.6500000000,0.2610000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,True,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,28,0.2500000000,4.6500000000,0.2610000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
3,0.2000000000,0.4000000000,0.4000000000,3.0000000000,0.6000000000,2.0000000000,12,0.1000000000,4.6000000000,0.3190000000,9.7336000000,1.7612884809,8.2380071414,3.2409053157,1.8912834783,1.5567618318,False,UNVERIFIED
3,0.2000000000,0.4000000000,0.4000000000,3.0000000000,0.6000000000,2.0000000000,12,0.1500000000,4.6000000000,0.3190000000,9.7336000000,1.7612884809,8.2380071414,3.2409053157,1.8912834783,1.5567618318,False,UNVERIFIED
3,0.2000000000,0.4000000000,0.4000000000,3.0000000000,0.6000000000,2.0000000000,12,0.2000000000,4.6000000000,0.3190000000,9.7336000000,1.7612884809,8.2380071414,3.2409053157,1.8912834783,1.5567618318,False,UNVERIFIED
3,0.2000000000,0.4000000000,0.4000000000,3.0000000000,0.6000000000,2.0000000000,12,0.2500000000,4.6000000000,0.3190000000,9.7336000000,1.7612884809,8.2380071414,3.2409053157,1.8912834783,1.5567618318,False,UNVERIFIED
3,0.2000000000,0.4000000000,0.4000000000,3.0000000000,0.6000000000,2.0000000000,16,0.1000000000,4.6000000000,0.3170000000,9.7336000000,1.7612884809,8.2380071414,3.2409053157,1.8912834783,1.5567618318,True,UNVERIFIED
3,0.2000000000,0.4000000000,0.4000000000,3.0000000000,0.6000000000,2.0000000000,16,0.1500000000,4.6000000000,0.3170000000,9.7336000000,1.7612884809,8.2380071414,3.2409053157,1.8912834783,1.5567618318,False,UNVERIFIED
3,0.2000000000,0.4000000000,0.4000000000,3.0000000000,0.6000000000,2.0000000000,16,0.2000000000,4.6000000000,0.3170000000,9.7336000000,1.7612884809,8.2380071414,3.2409053157,1.8912834783,1.5567618318,False,UNVERIFIED
